Topic,Functional Requirements,Nonfunctional Requirements,User Interface Requirements,Expected Results,Algorithms,Dataset,Programming Language used,Tools used
House Price Prediction,"This application is based on machine learning
techniques and its job is to process a dataset consisting of information about various
houses and then accept new information about a house and then predict the price of it.","The performance of the application is quite good
as it gives the appropriate price estimate for a house based on its information.","The user needs to enter the required information
about the house whose price is to be predicted. This is done through MATLAB.","Estimated appropriate price of a house based on its locality and
Facilities.",Linear Regression for multiple variables,House dataset,MATLAB,MATLAB
Anomaly Detection In Ship Trajectory,"The algorithm should be able to predict the anomalistic character of the given coordinates with
minimal error. The selected algorithm should provide an optimal solution to the given problem.","The algorithm should be time efficient i.e. it should be quick in classifying the data as anomaly or not.
The output should be error free i.e. the probability of the output being an error should.",,"As an output of an anomaly detection algorithm, two possibilities exist. First, a label can be
Used as a result indicating whether an instance is an anomaly or not. Second, a score or confidence
value can be a more informative result indicating the degree of abnormality.",SVM and KNN,"Latitude, Longitude and Anomaly",R,RStudio
Hand written digits recognition,Consistent performance for minute and bulk data.,"Fast recovery from errors.
Availability.",MATLAB,Should recognise various styles of digits.,KNN,UCI,MATLAB,MATLAB
Social Network Ads,"K-nearest neighbour algorithm is used.
Dataset consists of 5 variables with 400 observations (User ID, Age,

Gender, Estimate Salary, Prediction)

Train Data: 300 observations with 3 variables.
Testing Data: 100 observations with 3 variables.","Availability- As far as the datasets are available the program works properly ,
Effective performance- presently works for 400 data observations,
Maintainability.",Console,"A plot with number of user buying a product ,with coordinates being Estimated Salary and age.",K-Nearest Neighbour,Social Network Ads,R Script,R studio
music classification based on lyrics,"Hardware:
Intel core processor i3
4GB RAM

Software:
Ubuntu 16
Idle","Performance: Response within a second.
Openness: System should be extensible to guarantee that it is useful for a reasonable period of time.
Failure handling: System components may fail independently of others. so they can handle failure of
other components .",,"The word cloud visualizations of the most frequent words in the training dataset show an overlap between
the most frequent words (love, know, come) between the happy and sad songs, based on that we are
predicting the type of song.",naive bayes,millions sets of songs,python,idle
Stock Market Prediction,"Hardware Requirements:
 Core i3 processor
Software Requirements:
 Windows
 Ubuntu
 R studio","Efficiency
 Accuracy","Python, R studio",It should predict the price and has to generate error.,Neural Network,link,"Python
R studio",RSI
Optical recognition of handwritten digits,"Datasets :MNIST dataset which includes both features set and target dataset
Parameters: choose k (number of neighbors) to optimize the learning model","Windows 7 and above versions with minimum 4GB RAM, MacOs ,Linux
Minimum Requirements: 1.5GHz Intel core i3 processor",Python console,"Accuracy with Scaling
Accuracy without Scaling
Tuned KNN Parameters: n_neighbors
Choosing best parameters for testing dataset to predict",K nearest neighbor algorithm,MNIST dataset with 1797 samples,Python,Scikit-learn
Diabetes Risk Prediction,"People having low, middle, high risk are classified as no risk category, low risk category and high risk category respectively according to the output of our algorithm which will run on R programming platform",The algorithm should not use more time and memory space than necessary. The data entered by user should be correct and result within possible error area. The training data used should not violate the privacy of the patient’s information,,The project aims to classify whether the person is at risk at being Diabetic or not.,Naive Bayes,Pima Indian Diabetes Dataset,R programming,R Studio
Stock Price prediction using Knn,"Training data, Testing data, R studio packages.","Space/Memory, Accuracy, time for data processing",R Studio.,Predicts stock prices with the given set of training data with an accuracy of 50.76% or above using K-nearest Neighbour algorithm.,K nearest neighbour Algorithm,stocks.csv,R program,R studio
NLP -BASED ARTIFICIAL INTELLIGENT BOT,"1 The chatbot should be able to learn every new thing given to it.
2 Any new data given as input should be stored in the dataset and should be able to reply
to further questions on it.
3 If the chatbot doesn’t understand the query/input it should ask for more simplified input.
4 If the chatbot understands the input, it should respond with correct information.
5 The chatbot should be able to send data in the form of a text message.","1. The chatbot should reply under 30 seconds to user’s queries.
2. The users have to authenticate themselves before being able to query information from
chatbot.
3. The main chatbot logic should be a separate complete package that can be easily
integrated with other applications.
4. Talking to the chatbot should feel like talking to a person.","The user interface is simple and easy to interact and the conversation flow includes freestyle
plain text. The user can access the chatbot application through android device and it will have a
chat system with the bot. Any requirement of the user can be directly entered into the message
window.
On the right side the user message is seen and on the left side the bot replies. This alignment is
maintained in this bot to make the conversation smooth and interactive.",,Neural networks,Own data sets,Android and Artificial Intelligence Markup Language,Android Studio
